firm_name,discovery_source,firm_type,type_evidence,category,proof_exists,proof_function_source,proof_function_quote,proof_type_quote,entity_coherent,counts_toward_500,is_commercial,website,hq_location,corporate_linkedin,signal_date,signal_type,reachability_score,record_status,rejection_reason,aum,aum__source,aum__method,aum__confidence,aum__epistemic,aum__asof,aum__status,aum__route,aum__quarantined_value,aum__quarantined_reason,investing_thesis,investing_thesis__source,investing_thesis__method,investing_thesis__confidence,investing_thesis__epistemic,investing_thesis__asof,investing_thesis__status,investing_thesis__route,investing_thesis__quarantined_value,investing_thesis__quarantined_reason,mandate,mandate__source,mandate__method,mandate__confidence,mandate__epistemic,mandate__asof,mandate__status,mandate__route,mandate__quarantined_value,mandate__quarantined_reason,background,background__source,background__method,background__confidence,background__epistemic,background__asof,background__status,background__route,background__quarantined_value,background__quarantined_reason,principal_name,principal_name__source,principal_name__method,principal_name__confidence,principal_name__epistemic,principal_name__asof,principal_name__status,principal_name__route,principal_name__quarantined_value,principal_name__quarantined_reason,principal_title,principal_title__source,principal_title__method,principal_title__confidence,principal_title__epistemic,principal_title__asof,principal_title__status,principal_title__route,principal_title__quarantined_value,principal_title__quarantined_reason,principal_linkedin,principal_linkedin__source,principal_linkedin__method,principal_linkedin__confidence,principal_linkedin__epistemic,principal_linkedin__asof,principal_linkedin__status,principal_linkedin__route,principal_linkedin__quarantined_value,principal_linkedin__quarantined_reason,principal_email,principal_email__source,principal_email__method,principal_email__confidence,principal_email__epistemic,principal_email__asof,principal_email__status,principal_email__route,principal_email__quarantined_value,principal_email__quarantined_reason,principal_phone,principal_phone__source,principal_phone__method,principal_phone__confidence,principal_phone__epistemic,principal_phone__asof,principal_phone__status,principal_phone__route,principal_phone__quarantined_value,principal_phone__quarantined_reason,recent_signal,recent_signal__source,recent_signal__method,recent_signal__confidence,recent_signal__epistemic,recent_signal__asof,recent_signal__status,recent_signal__route,recent_signal__quarantined_value,recent_signal__quarantined_reason
ONEASCENT FAMILY OFFICES,SEC Form ADV (registered adviser roster),Unconfirmed,FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function),Unresolved-Quarantine,SEC-registered investment adviser (CRD 323305); Form ADV filed 04/28/2026,,,,True,False,False,https://oneascent.com,"BIRMINGHAM, AL",,,,25,Rejected,Unresolved-Quarantine: does not meet the inclusion floor (FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function)),,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 323305),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,(205) 313-9142,SEC Form ADV (CRD 323305),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
HAMPSHIRE FAMILY OFFICE,SEC Form ADV (registered adviser roster),MFO,"own-source multi-family statement: ""Leveraging a multifamily office structure to serve as your personal Chief Investment Officer and deliver a complete advisory platform and robust solutions.""",MFO,SEC-registered investment adviser (CRD 323432); Form ADV filed 03/31/2026,http://www.hampshirefamilyoffice.com,Leveraging a multifamily office structure to serve as your personal Chief Investment Officer and deliver a complete advisory platform and robust solutions.,Leveraging a multifamily office structure to serve as your personal Chief Investment Officer and deliver a complete advisory platform and robust solutions.,True,True,False,http://www.hampshirefamilyoffice.com,,,,,25,Qualified,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 323432),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,212-365-7624,SEC Form ADV (CRD 323432),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
"PETROS FAMILY WEALTH, LLC",SEC Form ADV (registered adviser roster),Unconfirmed,FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function),Unresolved-Quarantine,SEC-registered investment adviser (CRD 324059); Form ADV filed 02/27/2026,,,,True,False,False,https://www.petrosfw.com,"BLOOMINGTON, MN",,,,35,Rejected,Unresolved-Quarantine: does not meet the inclusion floor (FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function)),,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 324059),Form ADV Item 5.D,Medium,fact,,verified,,,,Carl Lymangood,https://www.petrosfw.com,named on the firm's own website (team/about page),High,fact,,verified,,,,President,https://www.petrosfw.com,title on the firm's own website,High,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,(612) 643-9995,SEC Form ADV (CRD 324059),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
"FIDUCIARY FAMILY OFFICE, LLC",SEC Form ADV (registered adviser roster),MFO,"own-source multi-family statement: ""We serve as our clients’ Chief Financial Officer — providing sophisticated tax, estate, and investment solutions concurrent with timely financial analysis to address the complexities of multi-generational wealth.""",MFO,SEC-registered investment adviser (CRD 326990); Form ADV filed 03/11/2026,https://fiduciaryfo.com,"We serve as our clients’ Chief Financial Officer — providing sophisticated tax, estate, and investment solutions concurrent with timely financial analysis to address the complexities of multi-generational wealth.","We serve as our clients’ Chief Financial Officer — providing sophisticated tax, estate, and investment solutions concurrent with timely financial analysis to address the complexities of multi-generational wealth.",True,True,False,https://fiduciaryfo.com,"BOCA RATON, FL",,,,35,Qualified,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 326990),Form ADV Item 5.D,Medium,fact,,verified,,,,Kathleen Grace,https://fiduciaryfo.com,named on the firm's own website (team/about page),High,fact,,verified,,,,"Managing Member, CEO, CIO",https://fiduciaryfo.com,title on the firm's own website,High,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,(561) 353-4440,SEC Form ADV (CRD 326990),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
"QTR FAMILY WEALTH, LLC",SEC Form ADV (registered adviser roster),Unconfirmed,FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function),Unresolved-Quarantine,SEC-registered investment adviser (CRD 331655); Form ADV filed 03/31/2026,,,,True,False,False,https://www.qtrfamily.com,"LAKE MARY, FL",,,,35,Rejected,Unresolved-Quarantine: does not meet the inclusion floor (FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function)),,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 331655),Form ADV Item 5.D,Medium,fact,,verified,,,,Chad and Wes Hunter,https://www.qtrfamily.com,named on the firm's own website (team/about page),High,fact,,verified,,,,Managing partners,https://www.qtrfamily.com,title on the firm's own website,High,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,407-745-0715,SEC Form ADV (CRD 331655),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
"CAMBIENT FAMILY OFFICE, LLC",SEC Form ADV (registered adviser roster),MFO,"own-source multi-family statement: ""Cambient Family Office is a multi-family office serving clients with complex financial lives, emphasizing stewardship and fiduciary responsibility.""",MFO,SEC-registered investment adviser (CRD 335128); Form ADV filed 03/31/2026,https://www.cambient.com,"Cambient Family Office is a multi-family office serving clients with complex financial lives, emphasizing stewardship and fiduciary responsibility.","Cambient Family Office is a multi-family office serving clients with complex financial lives, emphasizing stewardship and fiduciary responsibility.",True,True,False,https://www.cambient.com,"ADA, MI",,,,25,Qualified,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 335128),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,(616) 330-2270,SEC Form ADV (CRD 335128),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
ACTIV8 FAMILY OFFICE LLC,SEC Form ADV (registered adviser roster),Unconfirmed,FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function),Unresolved-Quarantine,SEC-registered investment adviser (CRD 337753); Form ADV filed 03/11/2026,,,,True,False,False,https://www.activ8familyoffice.com,"MCLEAN, VA",,,,25,Rejected,Unresolved-Quarantine: does not meet the inclusion floor (FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function)),,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 337753),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,978-870-0255,SEC Form ADV (CRD 337753),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
LANE FAMILY WEALTH MANAGEMENT,SEC Form ADV (registered adviser roster),Unconfirmed,"FO-function proven (""We provide a high-touch, family-office experience where guidance is as personal as the relationship, so you're supported every step of the way.""); single- vs multi-family unproven",FO-type-unknown,SEC-registered investment adviser (CRD 337964); Form ADV filed 03/13/2026,https://www.lanefamilywm.com,"We provide a high-touch, family-office experience where guidance is as personal as the relationship, so you're supported every step of the way.",,True,True,False,https://www.lanefamilywm.com,"NORTH LIBERTY, IA",,,,35,Qualified,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 337964),Form ADV Item 5.D,Medium,fact,,verified,,,,Pat Senkyr,https://www.lanefamilywm.com,named on the firm's own website (team/about page),High,fact,,verified,,,,President,https://www.lanefamilywm.com,title on the firm's own website,High,fact,,verified,,,,,,,,,,unresolved,,,,,https://www.lanefamilywm.com,quarantined — SMTP RCPT rejected the mailbox (undeliverable),,,,quarantined,,psenkyr@lanefamilywm.com,SMTP RCPT rejected the mailbox (undeliverable),319-535-4525,SEC Form ADV (CRD 337964),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
"PULLIAM FAMILY OFFICE, LLC",SEC Form ADV (registered adviser roster),Unconfirmed,"FO-function proven (""Pulliam Family Office integrates your team with ours to help maximize the return, impact, and legacy of your wealth—for generations to come.""); single- vs multi-family unproven",FO-type-unknown,SEC-registered investment adviser (CRD 338839); Form ADV filed 04/27/2026,https://www.pulliamfamilyoffice.com,"Pulliam Family Office integrates your team with ours to help maximize the return, impact, and legacy of your wealth—for generations to come.",Pulliam works with approximately 40 families in total on bundled and unbundled plans.,True,True,False,https://www.pulliamfamilyoffice.com,"CRESTED BUTTE, CO",,,,25,Qualified,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 338839),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,972-947-9400,SEC Form ADV (CRD 338839),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
"WPA FAMILY OFFICE, LLC",SEC Form ADV (registered adviser roster),Unconfirmed,"FO-function proven (""Our services include sophisticated investment strategies, portfolio management, direct private equity, tax planning, estate guidance, and comprehensive family office solutions, all seamlessly coordinated under one roof.""); single- vs multi-family unproven",FO-type-unknown,SEC-registered investment adviser (CRD 315566); Form ADV filed 02/18/2026,https://wpafamilyoffice.com,"Our services include sophisticated investment strategies, portfolio management, direct private equity, tax planning, estate guidance, and comprehensive family office solutions, all seamlessly coordinated under one roof.",Catered to families and professionals with investable assets ranging from $5M to $1B,True,True,False,https://wpafamilyoffice.com,"DALLAS, TX",,,,25,Qualified,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 315566),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,(214) 945-0888,SEC Form ADV (CRD 315566),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
"GRIFFIN FAMILY PARTNERS, LLC",SEC Form ADV (registered adviser roster),Unconfirmed,FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function),Unresolved-Quarantine,SEC-registered investment adviser (CRD 285042); Form ADV filed 03/17/2026,,,,True,False,False,https://WWW.GRIFFINFP.COM,,,,,25,Rejected,Unresolved-Quarantine: does not meet the inclusion floor (FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function)),,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 285042),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,615-948-4060,SEC Form ADV (CRD 285042),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
POINTONE FAMILY OFFICE,SEC Form ADV (registered adviser roster),MFO,"own-source multi-family statement: ""A Boutique Multi-Family Office Designed for Families Seeking Capital Partnership and Commercial Participation""",MFO,SEC-registered investment adviser (CRD 338563); Form ADV filed 04/10/2026,https://p1fo.com,PointOne Family Office (P1FO) Multi-family office serving the UHNW.,A Boutique Multi-Family Office Designed for Families Seeking Capital Partnership and Commercial Participation,True,True,False,https://p1fo.com,"MANHATTAN BEACH, CA",,,,25,Qualified,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 338563),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,(310) 737-2637,SEC Form ADV (CRD 338563),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
INNOVATIVE FAMILY OFFICE LLC,SEC Form ADV (registered adviser roster),Unconfirmed,"FO-function proven (""The Innovative Family Office is a private wealth management advisory firm that serves high-net-worth and ultra-high-net-worth investors.""); single- vs multi-family unproven",FO-type-unknown,SEC-registered investment adviser (CRD 329496); Form ADV filed 04/15/2026,https://www.innovativefo.com,The Innovative Family Office is a private wealth management advisory firm that serves high-net-worth and ultra-high-net-worth investors.,,True,True,False,https://www.innovativefo.com,"SOMERS, NY",,,,35,Qualified,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 329496),Form ADV Item 5.D,Medium,fact,,verified,,,,Nick Mancini,https://www.innovativefo.com,named on the firm's own website (team/about page),High,fact,,verified,,,,President,https://www.innovativefo.com,title on the firm's own website,High,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,(914) 427-8036,SEC Form ADV (CRD 329496),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
PARKSIDE FAMILY OFFICE LLC,SEC Form ADV (registered adviser roster),Unconfirmed,"FO-function proven (""Parkside Family Office, LLC is a registered investment advisory firm dedicated to helping families preserve wealth and grow investments.""); single- vs multi-family unproven",FO-type-unknown,SEC-registered investment adviser (CRD 339242); Form ADV filed 03/31/2026,http://www.parksidefamilyoffice.com,"Parkside Family Office, LLC is a registered investment advisory firm dedicated to helping families preserve wealth and grow investments.",,True,True,False,http://www.parksidefamilyoffice.com,,,,,35,Qualified,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 339242),Form ADV Item 5.D,Medium,fact,,verified,,,,"Hans D. Berkenhoff, CFA",http://www.parksidefamilyoffice.com,named on the firm's own website (team/about page),High,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,http://www.parksidefamilyoffice.com,quarantined — SMTP RCPT rejected the mailbox (undeliverable),,,,quarantined,,hans@parksidefamilyoffice.com,SMTP RCPT rejected the mailbox (undeliverable),425-238-4356,SEC Form ADV (CRD 339242),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
"TEXAS FAMILY WEALTH, LLC",SEC Form ADV (registered adviser roster),Unconfirmed,FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function),Unresolved-Quarantine,SEC-registered investment adviser (CRD 327332); Form ADV filed 03/23/2026,,,,True,False,False,https://texasfamilywealth.com,"FRIENDSWOOD, TX",,,,35,Rejected,Unresolved-Quarantine: does not meet the inclusion floor (FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function)),,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 327332),Form ADV Item 5.D,Medium,fact,,verified,,,,Harris Hanson,https://texasfamilywealth.com,named on the firm's own website (team/about page),High,fact,,verified,,,,"Financial Advisor, CFP , AAMS",https://texasfamilywealth.com,title on the firm's own website,High,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,(281) 482-3100,SEC Form ADV (CRD 327332),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
FIFTH AVENUE FAMILY OFFICE,SEC Form ADV (registered adviser roster),MFO,"own-source multi-family statement: ""Our focus is on managing and advising across our clients entire wealth spectrum, ensuring they can confidently enjoy their lives and families while building lasting legacies.""",MFO,SEC-registered investment adviser (CRD 122448); Form ADV filed 03/16/2026,http://WWW.FIFTHAVENUEFAMILY.COM,"At Fifth Avenue Family Office, we are a dedicated team serving high-net-worth entrepreneurial families. We specialize in comprehensive family office services, including investment management, estate and legacy planning, and tax coordination.","Our focus is on managing and advising across our clients entire wealth spectrum, ensuring they can confidently enjoy their lives and families while building lasting legacies.",True,True,False,http://WWW.FIFTHAVENUEFAMILY.COM,"NAPLES, FL",,,,25,Qualified,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 122448),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,239-262-6300,SEC Form ADV (CRD 122448),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
SESTANTE FAMILY OFFICE,SEC Form ADV (registered adviser roster),MFO,"own-source multi-family statement: ""As a discreet and exclusive multi-family office, we provide high-touch services to ultra-high-net-worth families and individuals.""",MFO,SEC-registered investment adviser (CRD 335152); Form ADV filed 04/22/2026,https://www.sestante.com,"As a discreet and exclusive multi-family office, we provide high-touch services to ultra-high-net-worth families and individuals.","As a discreet and exclusive multi-family office, we provide high-touch services to ultra-high-net-worth families and individuals.",True,True,False,https://www.sestante.com,"CORONADO, CA",,,,35,Qualified,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 335152),Form ADV Item 5.D,Medium,fact,,verified,,,,Ben White,https://www.sestante.com,named on the firm's own website (team/about page),High,fact,,verified,,,,Co-Founder & Managing Partner,https://www.sestante.com,title on the firm's own website,High,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,619-268-6279,SEC Form ADV (CRD 335152),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
FIVE ELEVEN PARTNERS,SEC Form ADV (registered adviser roster),SFO,"own-source single-family statement: ""Five Eleven delivers a bespoke single-family office experience tailored to ultra-high-net-worth families.""",SFO,SEC-registered investment adviser (CRD 334002); Form ADV filed 03/31/2026,https://www.five11partners.com,Five Eleven delivers a bespoke single-family office experience tailored to ultra-high-net-worth families.,Five Eleven delivers a bespoke single-family office experience tailored to ultra-high-net-worth families.,True,True,False,https://www.five11partners.com,"GARDEN CITY, NY",,,,35,Qualified,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 334002),Form ADV Item 5.D,Medium,fact,,verified,,,,Andy Crofton,https://www.five11partners.com,named on the firm's own website (team/about page),High,fact,,verified,,,,"Founder, Managing Partner",https://www.five11partners.com,title on the firm's own website,High,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,917-685-1360,SEC Form ADV (CRD 334002),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
LEGACY ROAD FAMILY OFFICES,SEC Form ADV (registered adviser roster),Unconfirmed,"FO-function proven (""The mission of Legacy Road is to provide world-class, institutional quality, investment management and family office services designed to meet the diverse needs of professional athletes, entertainers, and exceptionally affluent individuals and families.""); single- vs multi-family unproven",FO-type-unknown,SEC-registered investment adviser (CRD 337654); Form ADV filed 03/31/2026,http://WWW.LEGACYROAD.COM,"The mission of Legacy Road is to provide world-class, institutional quality, investment management and family office services designed to meet the diverse needs of professional athletes, entertainers, and exceptionally affluent individuals and families.","Based on the concept of the family office, we offer a fully integrated approach to preserve and grow wealth in which we can provide investment advice concerning all asset classes of a client s portfolio, including fixed income, public equities, real estate, hedge funds, private equity, and highly unique diverse investments.",True,True,False,http://WWW.LEGACYROAD.COM,,,,,35,Qualified,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 337654),Form ADV Item 5.D,Medium,fact,,verified,,,,Laurence Richards,http://WWW.LEGACYROAD.COM,named on the firm's own website (team/about page),High,fact,,verified,,,,Chief Executive Officer,http://WWW.LEGACYROAD.COM,title on the firm's own website,High,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,917-626-1042,SEC Form ADV (CRD 337654),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
"FAMILY WMS, LLC",SEC Form ADV (registered adviser roster),Unconfirmed,FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function),Unresolved-Quarantine,SEC-registered investment adviser (CRD 126456); Form ADV filed 02/18/2026,,,,True,False,False,http://WWW.FAMILYWMS.COM,"ATHENS, GA",,,,25,Rejected,Unresolved-Quarantine: does not meet the inclusion floor (FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function)),,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 126456),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,404-961-1051,SEC Form ADV (CRD 126456),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
PHYSICIAN FAMILY FINANCIAL ADVISORS INC,SEC Form ADV (registered adviser roster),Unconfirmed,FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function),Unresolved-Quarantine,SEC-registered investment adviser (CRD 138433); Form ADV filed 04/20/2026,,,,True,False,False,https://open.spotify.com,"BEAVERTON, OR",,,,25,Rejected,Unresolved-Quarantine: does not meet the inclusion floor (FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function)),,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 138433),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,541-463-0899,SEC Form ADV (CRD 138433),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
"OAK FAMILY ADVISORS, LLC",SEC Form ADV (registered adviser roster),Unconfirmed,FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function),Unresolved-Quarantine,"SEC-registered investment adviser (CRD 141332, CIK 1846161); Form ADV filed 03/26/2026",,,,True,False,False,https://WWW.OFALLC.COM,"CHICAGO, IL",,,,35,Rejected,Unresolved-Quarantine: does not meet the inclusion floor (FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function)),,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 141332),Form ADV Item 5.D,Medium,fact,,verified,,,,"Terrence S. Wilson, CFA",https://WWW.OFALLC.COM,named on the firm's own website (team/about page),High,fact,,verified,,,,Chief Executive Officer,https://WWW.OFALLC.COM,title on the firm's own website,High,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,312-373-7221,SEC Form ADV (CRD 141332),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
"FAMILY LEGACY FINANCIAL SOLUTIONS, LLC",SEC Form ADV (registered adviser roster),Unconfirmed,FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function),Unresolved-Quarantine,"SEC-registered investment adviser (CRD 314351, CIK 2076068); Form ADV filed 03/10/2026",,,,True,False,False,https://www.familylegacync.com,"CARY, NC",,,,35,Rejected,Unresolved-Quarantine: does not meet the inclusion floor (FO-function not proven from the firm's own site/filing/exemption (name / 13F / press / registry do not prove function)),,,,,,,unresolved,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 314351),Form ADV Item 5.D,Medium,fact,,verified,,,,Todd Iglehart and Josh Stubbolo,https://www.familylegacync.com,named on the firm's own website (team/about page),High,fact,,verified,,,,Founders,https://www.familylegacync.com,title on the firm's own website,High,fact,,verified,,,,,,,,,,unresolved,,,,,,,,,,unresolved,,,,919-379-9000,SEC Form ADV (CRD 314351),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,,,unresolved,,,
